Freq. Range[13,30]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;-1.704835;-6.175091;-3.518085;-5.035185;-6.573967;-3.561510
002.set;1;0.812106;-6.957830;-3.163758;-4.905283;-9.264213;-5.116459
003.set;1;-1.908638;-5.947883;-1.971652;-1.383057;-5.564538;-2.948952
004.set;1;-5.302807;-8.762825;-4.162919;-1.197539;-9.011078;-5.731412
005.set;1;-7.459473;-11.689674;-4.798195;-5.946671;-11.486242;-8.976948
006.set;1;-6.512093;-10.088294;-5.010745;-3.617896;-9.875700;-7.216277
007.set;1;-4.532372;-7.318777;-1.181679;-3.590627;-7.627281;-5.629792
008.set;1;-1.759433;-7.566967;-0.150204;0.139311;-5.662835;0.084462
